date,countryIsoCode,users
2021-11-15,AT,41
2021-11-15,CH,55
2021-11-15,DE,432
2021-11-15,FR,352
2021-11-15,IT,478
2021-11-15,SE,205
2021-11-16,AT,38
2021-11-16,CH,48
2021-11-16,DE,462
2021-11-16,FR,364
2021-11-16,IT,476
2021-11-16,SE,209
2021-11-17,AT,50
2021-11-17,CH,51
2021-11-17,DE,443
2021-11-17,FR,404
2021-11-17,IT,469
2021-11-17,SE,203
2021-11-18,AT,51
2021-11-18,CH,47
2021-11-18,DE,435
2021-11-18,FR,403
2021-11-18,IT,445
2021-11-18,SE,196
2021-11-19,AT,34
2021-11-19,CH,44
2021-11-19,DE,412
2021-11-19,FR,330
2021-11-19,IT,468
2021-11-19,SE,186
2021-11-20,AT,22
2021-11-20,CH,27
2021-11-20,DE,163
2021-11-20,FR,156
2021-11-20,IT,237
2021-11-20,SE,83
2021-11-21,AT,17
2021-11-21,CH,13
2021-11-21,DE,251
2021-11-21,FR,175
2021-11-21,IT,242
2021-11-21,SE,88
2021-11-22,AT,45
2021-11-22,CH,41
2021-11-22,DE,441
2021-11-22,FR,375
2021-11-22,IT,478
2021-11-22,SE,214
2021-11-23,AT,44
2021-11-23,CH,50
2021-11-23,DE,440
2021-11-23,FR,375
2021-11-23,IT,458
2021-11-23,SE,197
2021-11-24,AT,35
2021-11-24,CH,45
2021-11-24,DE,429
2021-11-24,FR,387
2021-11-24,IT,522
2021-11-24,SE,193
2021-11-25,AT,47
2021-11-25,CH,58
2021-11-25,DE,521
2021-11-25,FR,383
2021-11-25,IT,445
2021-11-25,SE,189
2021-11-26,AT,36
2021-11-26,CH,49
2021-11-26,DE,396
2021-11-26,FR,347
2021-11-26,IT,501
2021-11-26,SE,173
2021-11-27,AT,28
2021-11-27,CH,24
2021-11-27,DE,239
2021-11-27,FR,167
2021-11-27,IT,294
2021-11-27,SE,88
2021-11-28,AT,26
2021-11-28,CH,28
2021-11-28,DE,251
2021-11-28,FR,168
2021-11-28,IT,276
2021-11-28,SE,89
2021-11-29,AT,46
2021-11-29,CH,46
2021-11-29,DE,481
2021-11-29,FR,392
2021-11-29,IT,509
2021-11-29,SE,207
2021-11-30,AT,35
2021-11-30,CH,49
2021-11-30,DE,462
2021-11-30,FR,386
2021-11-30,IT,426
2021-11-30,SE,218
2021-12-01,AT,49
2021-12-01,CH,28
2021-12-01,DE,456
2021-12-01,FR,338
2021-12-01,IT,450
2021-12-01,SE,200
2021-12-02,AT,44
2021-12-02,CH,49
2021-12-02,DE,407
2021-12-02,FR,342
2021-12-02,IT,526
2021-12-02,SE,211
2021-12-03,AT,34
2021-12-03,CH,36
2021-12-03,DE,364
2021-12-03,FR,312
2021-12-03,IT,484
2021-12-03,SE,166
2021-12-04,AT,17
2021-12-04,CH,20
2021-12-04,DE,186
